66,"di saat teman seumuranku dan temanku yang lebih muda ingin segera menikah, di sini aku haha hehe sama twitter dan segala isinya
nikah itu masih nomor ke sekian yang harus aku pikirkan https://t.co/nld8tcspjm"
67,"😏: iya sama dulu juga pengalaman gitu pas pacaran, akhirnya detik itu juga minta putus.😅: walaupun gitu tetap sakit hati dan malu kan?
😏: iyalah pasti. tapi untuk mencegah sakit yang lebih parah, tau-taunya dia jadinya nikah sama yang lebih muda. (cont.)"
68,"kamu benci pemikiran para manusia di indonesia.
nikah muda/nikah biasa pun seolah buat hal dangkal kayak gitu.
they dunno the deep meaning of marriage. 

-_- coba ke luar negeri, mana ada yg nanyain kapan nikah. hih, sebel."
69,emang banyak banget hal yang gua pikirkan. kadang suka kagum sama orang-orang yang nikah muda yang mana mereka berani ambil resiko mengorbankan masa mudanya buat menikah. salut banget sih.
70,menurut kalian menikah di usia 23th tanggapannya gimana? — aku malah mau nikah di usia23 (aamiin) nikah muda ntr jadinya sama anak kaya sama temen wkwkwk https://t.co/fovmo5mgs2
71,"sungjae itu suka sama anak-anak, dan dia pingin nikah muda. tapi karena kesibukannya maka itu akan sulit."
72,um cafezinho e um abraço muda o dia da gente de uma maneira tão gostosa aaaa
73,"#mnfs anjay, tante w mau jodohin w kalau udah lulus sma, mentang² w udah kls 12 😡
katanya sama pengusaha muda kaya ganteng (iya sih gans)  , tapi ku tolak bcs w pengen ngejar cita². kalau nikah nanti ga bisa kuliah kek temen kakak w 😭

wdyt guys? 
btw w cewe :)"
74,"@askmenfess woe, w 2001 udah mao semester 3 :') mati muda apa nikah muda kagatau dah ini😂"
75,"@adisatyacr @sanjaymkb @arvinnkeanu @aldyrgantara milea kaget melihat ayahnya yang membatalkan lamaran mereka ""ayah, aku masih mau nikah muda"" ucapnya sambil menahan tangis namun ucapannya sudah tidak digubris lagi oleh sang ayah. 

niat membawa pulang menantu, ayahnya hanya membawa malu.

-the end https://t.co/bbussg2sfj"
76,iku lo dipikir maneh sek ape gelem nikah muda https://t.co/rvelkit6g4
77,rasanya nikah muda bgmna? tbtb ragu😔
78,pingin nikah muda gitu. . ehh iya kan udh tua yaudh deh nikah cpt aja
79,"@bruisedgaiaxy my mom: anak mami g boleh pacaran 

also my mom: klo dapet jodoh muda langsung cepet nikah ya hehehhehe

ok."
